          1417	THH
15.665200       15.665200        3.916300
17.623350       17.623350        3.916300
19.581500       15.665200        3.916300
21.539650       17.623350        3.916300
23.497800       15.665200        3.916300
15.665200       19.581500        3.916300
17.623350       21.539650        3.916300
19.581500       19.581500        3.916300
21.539650       21.539650        3.916300
23.497800       19.581500        3.916300
15.665200       23.497800        3.916300
19.581500       23.497800        3.916300
23.497800       23.497800        3.916300
 7.832600        7.832600        7.832600
 9.790750        9.790750        7.832600
11.748900        7.832600        7.832600
13.707050        9.790750        7.832600
15.665200        7.832600        7.832600
17.623350        9.790750        7.832600
19.581500        7.832600        7.832600
21.539650        9.790750        7.832600
23.497800        7.832600        7.832600
25.455950        9.790750        7.832600
27.414100        7.832600        7.832600
29.372250        9.790750        7.832600
31.330400        7.832600        7.832600
 7.832600       11.748900        7.832600
 9.790750       13.707050        7.832600
11.748900       11.748900        7.832600
13.707050       13.707050        7.832600
15.665200       11.748900        7.832600
17.623350       13.707050        7.832600
19.581500       11.748900        7.832600
21.539650       13.707050        7.832600
23.497800       11.748900        7.832600
25.455950       13.707050        7.832600
27.414100       11.748900        7.832600
29.372250       13.707050        7.832600
31.330400       11.748900        7.832600
 7.832600       15.665200        7.832600
 9.790750       17.623350        7.832600
11.748900       15.665200        7.832600
13.707050       17.623350        7.832600
15.665200       15.665200        7.832600
17.623350       17.623350        7.832600
19.581500       15.665200        7.832600
21.539650       17.623350        7.832600
23.497800       15.665200        7.832600
25.455950       17.623350        7.832600
27.414100       15.665200        7.832600
29.372250       17.623350        7.832600
31.330400       15.665200        7.832600
 7.832600       19.581500        7.832600
 9.790750       21.539650        7.832600
11.748900       19.581500        7.832600
13.707050       21.539650        7.832600
15.665200       19.581500        7.832600
17.623350       21.539650        7.832600
19.581500       19.581500        7.832600
21.539650       21.539650        7.832600
23.497800       19.581500        7.832600
25.455950       21.539650        7.832600
27.414100       19.581500        7.832600
29.372250       21.539650        7.832600
31.330400       19.581500        7.832600
 7.832600       23.497800        7.832600
 9.790750       25.455950        7.832600
11.748900       23.497800        7.832600
13.707050       25.455950        7.832600
15.665200       23.497800        7.832600
17.623350       25.455950        7.832600
19.581500       23.497800        7.832600
21.539650       25.455950        7.832600
23.497800       23.497800        7.832600
25.455950       25.455950        7.832600
27.414100       23.497800        7.832600
29.372250       25.455950        7.832600
31.330400       23.497800        7.832600
 7.832600       27.414100        7.832600
 9.790750       29.372250        7.832600
11.748900       27.414100        7.832600
13.707050       29.372250        7.832600
15.665200       27.414100        7.832600
17.623350       29.372250        7.832600
19.581500       27.414100        7.832600
21.539650       29.372250        7.832600
23.497800       27.414100        7.832600
25.455950       29.372250        7.832600
27.414100       27.414100        7.832600
29.372250       29.372250        7.832600
31.330400       27.414100        7.832600
 7.832600       31.330400        7.832600
11.748900       31.330400        7.832600
15.665200       31.330400        7.832600
19.581500       31.330400        7.832600
23.497800       31.330400        7.832600
27.414100       31.330400        7.832600
31.330400       31.330400        7.832600
13.707050        5.874450       11.748900
17.623350        5.874450       11.748900
21.539650        5.874450       11.748900
25.455950        5.874450       11.748900
 7.832600        7.832600       11.748900
 9.790750        9.790750       11.748900
11.748900        7.832600       11.748900
13.707050        9.790750       11.748900
15.665200        7.832600       11.748900
17.623350        9.790750       11.748900
19.581500        7.832600       11.748900
21.539650        9.790750       11.748900
23.497800        7.832600       11.748900
25.455950        9.790750       11.748900
27.414100        7.832600       11.748900
29.372250        9.790750       11.748900
31.330400        7.832600       11.748900
 5.874450       13.707050       11.748900
 7.832600       11.748900       11.748900
 9.790750       13.707050       11.748900
11.748900       11.748900       11.748900
13.707050       13.707050       11.748900
15.665200       11.748900       11.748900
17.623350       13.707050       11.748900
19.581500       11.748900       11.748900
21.539650       13.707050       11.748900
23.497800       11.748900       11.748900
25.455950       13.707050       11.748900
27.414100       11.748900       11.748900
29.372250       13.707050       11.748900
31.330400       11.748900       11.748900
33.288550       13.707050       11.748900
 5.874450       17.623350       11.748900
 7.832600       15.665200       11.748900
 9.790750       17.623350       11.748900
11.748900       15.665200       11.748900
13.707050       17.623350       11.748900
15.665200       15.665200       11.748900
17.623350       17.623350       11.748900
19.581500       15.665200       11.748900
21.539650       17.623350       11.748900
23.497800       15.665200       11.748900
25.455950       17.623350       11.748900
27.414100       15.665200       11.748900
29.372250       17.623350       11.748900
31.330400       15.665200       11.748900
33.288550       17.623350       11.748900
 5.874450       21.539650       11.748900
 7.832600       19.581500       11.748900
 9.790750       21.539650       11.748900
11.748900       19.581500       11.748900
13.707050       21.539650       11.748900
15.665200       19.581500       11.748900
17.623350       21.539650       11.748900
19.581500       19.581500       11.748900
21.539650       21.539650       11.748900
23.497800       19.581500       11.748900
25.455950       21.539650       11.748900
27.414100       19.581500       11.748900
29.372250       21.539650       11.748900
31.330400       19.581500       11.748900
33.288550       21.539650       11.748900
 5.874450       25.455950       11.748900
 7.832600       23.497800       11.748900
 9.790750       25.455950       11.748900
11.748900       23.497800       11.748900
13.707050       25.455950       11.748900
15.665200       23.497800       11.748900
17.623350       25.455950       11.748900
19.581500       23.497800       11.748900
21.539650       25.455950       11.748900
23.497800       23.497800       11.748900
25.455950       25.455950       11.748900
27.414100       23.497800       11.748900
29.372250       25.455950       11.748900
31.330400       23.497800       11.748900
33.288550       25.455950       11.748900
 7.832600       27.414100       11.748900
 9.790750       29.372250       11.748900
11.748900       27.414100       11.748900
13.707050       29.372250       11.748900
15.665200       27.414100       11.748900
17.623350       29.372250       11.748900
19.581500       27.414100       11.748900
21.539650       29.372250       11.748900
23.497800       27.414100       11.748900
25.455950       29.372250       11.748900
27.414100       27.414100       11.748900
29.372250       29.372250       11.748900
31.330400       27.414100       11.748900
 7.832600       31.330400       11.748900
11.748900       31.330400       11.748900
13.707050       33.288550       11.748900
15.665200       31.330400       11.748900
17.623350       33.288550       11.748900
19.581500       31.330400       11.748900
21.539650       33.288550       11.748900
23.497800       31.330400       11.748900
25.455950       33.288550       11.748900
27.414100       31.330400       11.748900
31.330400       31.330400       11.748900
13.707050        5.874450       15.665200
15.665200        3.916300       15.665200
17.623350        5.874450       15.665200
19.581500        3.916300       15.665200
21.539650        5.874450       15.665200
23.497800        3.916300       15.665200
25.455950        5.874450       15.665200
 7.832600        7.832600       15.665200
 9.790750        9.790750       15.665200
11.748900        7.832600       15.665200
13.707050        9.790750       15.665200
15.665200        7.832600       15.665200
17.623350        9.790750       15.665200
19.581500        7.832600       15.665200
21.539650        9.790750       15.665200
23.497800        7.832600       15.665200
25.455950        9.790750       15.665200
27.414100        7.832600       15.665200
29.372250        9.790750       15.665200
31.330400        7.832600       15.665200
 5.874450       13.707050       15.665200
 7.832600       11.748900       15.665200
 9.790750       13.707050       15.665200
11.748900       11.748900       15.665200
13.707050       13.707050       15.665200
15.665200       11.748900       15.665200
17.623350       13.707050       15.665200
19.581500       11.748900       15.665200
21.539650       13.707050       15.665200
23.497800       11.748900       15.665200
25.455950       13.707050       15.665200
27.414100       11.748900       15.665200
29.372250       13.707050       15.665200
31.330400       11.748900       15.665200
33.288550       13.707050       15.665200
 3.916300       15.665200       15.665200
 5.874450       17.623350       15.665200
 7.832600       15.665200       15.665200
 9.790750       17.623350       15.665200
