        1832	DH
36.901686      40.282132      64.715996
36.901686      37.792777      63.278766
39.269203      38.562030      61.841536
39.269203      41.051385      63.278766
41.636721      41.820638      61.841536
41.636721      39.331283      60.404306
44.004238      40.100536      58.967076
44.004238      42.589891      60.404306
46.371756      43.359144      58.967076
46.371756      40.869789      57.529847
48.739273      41.639042      56.092617
48.739273      44.128397      57.529847
51.106791      44.897650      56.092617
51.106791      42.408295      54.655387
53.474308      43.177548      53.218157
53.474308      45.666903      54.655387
55.841826      46.436156      53.218157
55.841826      43.946801      51.780927
58.209343      44.716054      50.343697
58.209343      47.205409      51.780927
36.901686      45.260842      61.841536
36.901686      40.282132      58.967076
36.901686      42.771487      60.404306
39.269203      43.540740      58.967076
39.269203      46.030095      60.404306
41.636721      46.799348      58.967076
36.901686      37.792777      57.529847
39.269203      38.562030      56.092617
39.269203      41.051385      57.529847
41.636721      41.820638      56.092617
41.636721      44.309993      57.529847
44.004238      45.079246      56.092617
44.004238      47.568601      57.529847
46.371756      48.337854      56.092617
41.636721      39.331283      54.655387
44.004238      40.100536      53.218157
44.004238      42.589891      54.655387
46.371756      43.359144      53.218157
46.371756      45.848499      54.655387
48.739273      46.617752      53.218157
48.739273      49.107107      54.655387
51.106791      49.876360      53.218157
46.371756      40.869789      51.780927
48.739273      41.639042      50.343697
48.739273      44.128397      51.780927
51.106791      44.897650      50.343697
51.106791      47.387005      51.780927
53.474308      48.156258      50.343697
53.474308      50.645614      51.780927
51.106791      42.408295      48.906467
53.474308      43.177548      47.469237
53.474308      45.666903      48.906467
36.901686      50.239553      58.967076
36.901686      45.260842      56.092617
36.901686      47.750197      57.529847
39.269203      48.519450      56.092617
39.269203      51.008806      57.529847
41.636721      51.778059      56.092617
36.901686      40.282132      53.218157
36.901686      42.771487      54.655387
39.269203      43.540740      53.218157
39.269203      46.030095      54.655387
41.636721      46.799348      53.218157
41.636721      49.288703      54.655387
44.004238      50.057956      53.218157
44.004238      52.547312      54.655387
46.371756      53.316565      53.218157
36.901686      37.792777      51.780927
39.269203      38.562030      50.343697
39.269203      41.051385      51.780927
41.636721      41.820638      50.343697
41.636721      44.309993      51.780927
44.004238      45.079246      50.343697
