          8621	RD
35.355240       43.203240       19.659240
37.317240       45.165240       19.659240
39.279240       43.203240       19.659240
41.241240       45.165240       19.659240
43.203240       43.203240       19.659240
45.165240       45.165240       19.659240
47.127240       43.203240       19.659240
49.089240       45.165240       19.659240
51.051240       43.203240       19.659240
53.013240       45.165240       19.659240
54.975240       43.203240       19.659240
56.937240       45.165240       19.659240
58.899240       43.203240       19.659240
27.507240       47.127240       19.659240
29.469240       49.089240       19.659240
31.431240       47.127240       19.659240
33.393240       49.089240       19.659240
35.355240       47.127240       19.659240
37.317240       49.089240       19.659240
39.279240       47.127240       19.659240
41.241240       49.089240       19.659240
43.203240       47.127240       19.659240
45.165240       49.089240       19.659240
47.127240       47.127240       19.659240
49.089240       49.089240       19.659240
51.051240       47.127240       19.659240
53.013240       49.089240       19.659240
54.975240       47.127240       19.659240
56.937240       49.089240       19.659240
58.899240       47.127240       19.659240
27.507240       51.051240       19.659240
29.469240       53.013240       19.659240
31.431240       51.051240       19.659240
33.393240       53.013240       19.659240
35.355240       51.051240       19.659240
37.317240       53.013240       19.659240
39.279240       51.051240       19.659240
41.241240       53.013240       19.659240
43.203240       51.051240       19.659240
45.165240       53.013240       19.659240
47.127240       51.051240       19.659240
49.089240       53.013240       19.659240
51.051240       51.051240       19.659240
53.013240       53.013240       19.659240
54.975240       51.051240       19.659240
56.937240       53.013240       19.659240
58.899240       51.051240       19.659240
27.507240       54.975240       19.659240
29.469240       56.937240       19.659240
31.431240       54.975240       19.659240
33.393240       56.937240       19.659240
35.355240       54.975240       19.659240
37.317240       56.937240       19.659240
39.279240       54.975240       19.659240
41.241240       56.937240       19.659240
43.203240       54.975240       19.659240
45.165240       56.937240       19.659240
47.127240       54.975240       19.659240
49.089240       56.937240       19.659240
51.051240       54.975240       19.659240
53.013240       56.937240       19.659240
54.975240       54.975240       19.659240
56.937240       56.937240       19.659240
58.899240       54.975240       19.659240
27.507240       58.899240       19.659240
31.431240       58.899240       19.659240
35.355240       58.899240       19.659240
39.279240       58.899240       19.659240
43.203240       58.899240       19.659240
47.127240       58.899240       19.659240
51.051240       58.899240       19.659240
54.975240       58.899240       19.659240
58.899240       58.899240       19.659240
23.583240       23.583240       23.583240
25.545240       25.545240       23.583240
27.507240       23.583240       23.583240
29.469240       25.545240       23.583240
31.431240       23.583240       23.583240
33.393240       25.545240       23.583240
35.355240       23.583240       23.583240
37.317240       25.545240       23.583240
39.279240       23.583240       23.583240
41.241240       25.545240       23.583240
43.203240       23.583240       23.583240
45.165240       25.545240       23.583240
47.127240       23.583240       23.583240
49.089240       25.545240       23.583240
51.051240       23.583240       23.583240
53.013240       25.545240       23.583240
54.975240       23.583240       23.583240
56.937240       25.545240       23.583240
58.899240       23.583240       23.583240
60.861240       25.545240       23.583240
62.823240       23.583240       23.583240
23.583240       27.507240       23.583240
25.545240       29.469240       23.583240
27.507240       27.507240       23.583240
29.469240       29.469240       23.583240
31.431240       27.507240       23.583240
33.393240       29.469240       23.583240
35.355240       27.507240       23.583240
37.317240       29.469240       23.583240
39.279240       27.507240       23.583240
41.241240       29.469240       23.583240
43.203240       27.507240       23.583240
45.165240       29.469240       23.583240
47.127240       27.507240       23.583240
49.089240       29.469240       23.583240
51.051240       27.507240       23.583240
53.013240       29.469240       23.583240
54.975240       27.507240       23.583240
56.937240       29.469240       23.583240
58.899240       27.507240       23.583240
60.861240       29.469240       23.583240
62.823240       27.507240       23.583240
23.583240       31.431240       23.583240
25.545240       33.393240       23.583240
27.507240       31.431240       23.583240
29.469240       33.393240       23.583240
31.431240       31.431240       23.583240
33.393240       33.393240       23.583240
35.355240       31.431240       23.583240
37.317240       33.393240       23.583240
39.279240       31.431240       23.583240
41.241240       33.393240       23.583240
43.203240       31.431240       23.583240
45.165240       33.393240       23.583240
47.127240       31.431240       23.583240
49.089240       33.393240       23.583240
51.051240       31.431240       23.583240
53.013240       33.393240       23.583240
54.975240       31.431240       23.583240
56.937240       33.393240       23.583240
58.899240       31.431240       23.583240
60.861240       33.393240       23.583240
62.823240       31.431240       23.583240
23.583240       35.355240       23.583240
25.545240       37.317240       23.583240
27.507240       35.355240       23.583240
29.469240       37.317240       23.583240
31.431240       35.355240       23.583240
33.393240       37.317240       23.583240
35.355240       35.355240       23.583240
37.317240       37.317240       23.583240
39.279240       35.355240       23.583240
41.241240       37.317240       23.583240
43.203240       35.355240       23.583240
45.165240       37.317240       23.583240
47.127240       35.355240       23.583240
49.089240       37.317240       23.583240
51.051240       35.355240       23.583240
53.013240       37.317240       23.583240
54.975240       35.355240       23.583240
56.937240       37.317240       23.583240
58.899240       35.355240       23.583240
60.861240       37.317240       23.583240
62.823240       35.355240       23.583240
23.583240       39.279240       23.583240
25.545240       41.241240       23.583240
27.507240       39.279240       23.583240
29.469240       41.241240       23.583240
31.431240       39.279240       23.583240
33.393240       41.241240       23.583240
35.355240       39.279240       23.583240
37.317240       41.241240       23.583240
39.279240       39.279240       23.583240
41.241240       41.241240       23.583240
43.203240       39.279240       23.583240
45.165240       41.241240       23.583240
47.127240       39.279240       23.583240
49.089240       41.241240       23.583240
51.051240       39.279240       23.583240
53.013240       41.241240       23.583240
54.975240       39.279240       23.583240
56.937240       41.241240       23.583240
58.899240       39.279240       23.583240
60.861240       41.241240       23.583240
62.823240       39.279240       23.583240
23.583240       43.203240       23.583240
25.545240       45.165240       23.583240
27.507240       43.203240       23.583240
29.469240       45.165240       23.583240
31.431240       43.203240       23.583240
33.393240       45.165240       23.583240
35.355240       43.203240       23.583240
37.317240       45.165240       23.583240
39.279240       43.203240       23.583240
41.241240       45.165240       23.583240
43.203240       43.203240       23.583240
45.165240       45.165240       23.583240
47.127240       43.203240       23.583240
49.089240       45.165240       23.583240
51.051240       43.203240       23.583240
53.013240       45.165240       23.583240
54.975240       43.203240       23.583240
56.937240       45.165240       23.583240
58.899240       43.203240       23.583240
60.861240       45.165240       23.583240
62.823240       43.203240       23.583240
23.583240       47.127240       23.583240
25.545240       49.089240       23.583240
27.507240       47.127240       23.583240
29.469240       49.089240       23.583240
31.431240       47.127240       23.583240
33.393240       49.089240       23.583240
35.355240       47.127240       23.583240
37.317240       49.089240       23.583240
39.279240       47.127240       23.583240
41.241240       49.089240       23.583240
43.203240       47.127240       23.583240
45.165240       49.089240       23.583240
47.127240       47.127240       23.583240
49.089240       49.089240       23.583240
51.051240       47.127240       23.583240
53.013240       49.089240       23.583240
54.975240       47.127240       23.583240
56.937240       49.089240       23.583240
58.899240       47.127240       23.583240
60.861240       49.089240       23.583240
62.823240       47.127240       23.583240
23.583240       51.051240       23.583240
25.545240       53.013240       23.583240
27.507240       51.051240       23.583240
29.469240       53.013240       23.583240
31.431240       51.051240       23.583240
33.393240       53.013240       23.583240
35.355240       51.051240       23.583240
37.317240       53.013240       23.583240
39.279240       51.051240       23.583240
41.241240       53.013240       23.583240
43.203240       51.051240       23.583240
45.165240       53.013240       23.583240
47.127240       51.051240       23.583240
49.089240       53.013240       23.583240
51.051240       51.051240       23.583240
53.013240       53.013240       23.583240
54.975240       51.051240       23.583240
56.937240       53.013240       23.583240
58.899240       51.051240       23.583240
60.861240       53.013240       23.583240
62.823240       51.051240       23.583240
23.583240       54.975240       23.583240
25.545240       56.937240       23.583240
27.507240       54.975240       23.583240
29.469240       56.937240       23.583240
31.431240       54.975240       23.583240
33.393240       56.937240       23.583240
35.355240       54.975240       23.583240
37.317240       56.937240       23.583240
39.279240       54.975240       23.583240
41.241240       56.937240       23.583240
43.203240       54.975240       23.583240
45.165240       56.937240       23.583240
47.127240       54.975240       23.583240
49.089240       56.937240       23.583240
51.051240       54.975240       23.583240
53.013240       56.937240       23.583240
54.975240       54.975240       23.583240
56.937240       56.937240       23.583240
58.899240       54.975240       23.583240
60.861240       56.937240       23.583240
62.823240       54.975240       23.583240
23.583240       58.899240       23.583240
25.545240       60.861240       23.583240
27.507240       58.899240       23.583240
29.469240       60.861240       23.583240
31.431240       58.899240       23.583240
33.393240       60.861240       23.583240
35.355240       58.899240       23.583240
37.317240       60.861240       23.583240
39.279240       58.899240       23.583240
41.241240       60.861240       23.583240
43.203240       58.899240       23.583240
45.165240       60.861240       23.583240
47.127240       58.899240       23.583240
49.089240       60.861240       23.583240
51.051240       58.899240       23.583240
53.013240       60.861240       23.583240
54.975240       58.899240       23.583240
56.937240       60.861240       23.583240
58.899240       58.899240       23.583240
60.861240       60.861240       23.583240
62.823240       58.899240       23.583240
23.583240       62.823240       23.583240
27.507240       62.823240       23.583240
31.431240       62.823240       23.583240
35.355240       62.823240       23.583240
39.279240       62.823240       23.583240
43.203240       62.823240       23.583240
47.127240       62.823240       23.583240
51.051240       62.823240       23.583240
54.975240       62.823240       23.583240
58.899240       62.823240       23.583240
62.823240       62.823240       23.583240
25.545240       21.621240       27.507240
27.507240       19.659240       27.507240
29.469240       21.621240       27.507240
31.431240       19.659240       27.507240
